id,skill_area,type,difficulty,question_text,image_url,options,correct_answer,explanation,marks
Q0001,data_interpretation,quiz,hard,Which region shows the lowest performance?,https://example.com/images/data_interpretation_1.png,"[""North"", ""South"", ""East"", ""West""]",East,Option East is correct based on data interpretation.,10
Q0002,data_interpretation,quiz,medium,What is the average value in the data set?,https://example.com/images/data_interpretation_2.png,"[""100"", ""150"", ""200"", ""250""]",200,Option 200 is correct based on data interpretation.,6
Q0003,data_interpretation,quiz,easy,Which month had the highest sales?,https://example.com/images/data_interpretation_3.png,"[""Jan"", ""Feb"", ""Mar"", ""Apr""]",Mar,Option Mar is correct based on data interpretation.,4
Q0004,pattern_recognition,visual_sequence,hard,What image completes the sequence?,https://example.com/images/pattern_recognition_4.png,"[""A"", ""B"", ""C"", ""D""]",C,Option C fits the pattern rule.,10
Q0005,critical_thinking,case_study,easy,Your project is behind schedule. How do you handle it?,,,subjective,Responses should reflect logical problem-solving and empathy.,4
Q0006,pattern_recognition,visual_sequence,hard,Choose the next shape in the pattern.,https://example.com/images/pattern_recognition_6.png,"[""Triangle"", ""Square"", ""Circle"", ""Star""]",Circle,Option Circle fits the pattern rule.,10
Q0007,pattern_recognition,visual_sequence,easy,What image completes the sequence?,https://example.com/images/pattern_recognition_7.png,"[""A"", ""B"", ""C"", ""D""]",C,Option C fits the pattern rule.,4
Q0008,pattern_recognition,visual_sequence,hard,Choose the next shape in the pattern.,https://example.com/images/pattern_recognition_8.png,"[""Triangle"", ""Square"", ""Circle"", ""Star""]",Circle,Option Circle fits the pattern rule.,10
Q0009,pattern_recognition,visual_sequence,hard,Select the correct rotated version.,https://example.com/images/pattern_recognition_9.png,"[""Left"", ""Right"", ""Upside-down"", ""Original""]",Right,Option Right fits the pattern rule.,10
Q0010,data_interpretation,quiz,hard,Which month had the highest sales?,https://example.com/images/data_interpretation_10.png,"[""Jan"", ""Feb"", ""Mar"", ""Apr""]",Mar,Option Mar is correct based on data interpretation.,10
Q0011,data_interpretation,quiz,medium,Which region shows the lowest performance?,https://example.com/images/data_interpretation_11.png,"[""North"", ""South"", ""East"", ""West""]",East,Option East is correct based on data interpretation.,6
Q0012,pattern_recognition,visual_sequence,easy,What image completes the sequence?,https://example.com/images/pattern_recognition_12.png,"[""A"", ""B"", ""C"", ""D""]",C,Option C fits the pattern rule.,4
Q0013,data_interpretation,quiz,medium,What is the average value in the data set?,https://example.com/images/data_interpretation_13.png,"[""100"", ""150"", ""200"", ""250""]",200,Option 200 is correct based on data interpretation.,6
Q0014,pattern_recognition,visual_sequence,hard,Select the correct rotated version.,https://example.com/images/pattern_recognition_14.png,"[""Left"", ""Right"", ""Upside-down"", ""Original""]",Right,Option Right fits the pattern rule.,10
Q0015,pattern_recognition,visual_sequence,medium,Choose the next shape in the pattern.,https://example.com/images/pattern_recognition_15.png,"[""Triangle"", ""Square"", ""Circle"", ""Star""]",Circle,Option Circle fits the pattern rule.,6
Q0016,data_interpretation,quiz,easy,Which month had the highest sales?,https://example.com/images/data_interpretation_16.png,"[""Jan"", ""Feb"", ""Mar"", ""Apr""]",Mar,Option Mar is correct based on data interpretation.,4
Q0017,pattern_recognition,visual_sequence,hard,Select the correct rotated version.,https://example.com/images/pattern_recognition_17.png,"[""Left"", ""Right"", ""Upside-down"", ""Original""]",Right,Option Right fits the pattern rule.,10
Q0018,pattern_recognition,visual_sequence,easy,What image completes the sequence?,https://example.com/images/pattern_recognition_18.png,"[""A"", ""B"", ""C"", ""D""]",C,Option C fits the pattern rule.,4
Q0019,pattern_recognition,visual_sequence,medium,What image completes the sequence?,https://example.com/images/pattern_recognition_19.png,"[""A"", ""B"", ""C"", ""D""]",C,Option C fits the pattern rule.,6
Q0020,data_interpretation,quiz,medium,Which month had the highest sales?,https://example.com/images/data_interpretation_20.png,"[""Jan"", ""Feb"", ""Mar"", ""Apr""]",Mar,Option Mar is correct based on data interpretation.,6
Q0021,critical_thinking,case_study,easy,Your project is behind schedule. How do you handle it?,,,subjective,Responses should reflect logical problem-solving and empathy.,4
Q0022,pattern_recognition,visual_sequence,hard,Choose the next shape in the pattern.,https://example.com/images/pattern_recognition_22.png,"[""Triangle"", ""Square"", ""Circle"", ""Star""]",Circle,Option Circle fits the pattern rule.,10
Q0023,pattern_recognition,visual_sequence,hard,What image completes the sequence?,https://example.com/images/pattern_recognition_23.png,"[""A"", ""B"", ""C"", ""D""]",C,Option C fits the pattern rule.,10
Q0024,pattern_recognition,visual_sequence,hard,Choose the next shape in the pattern.,https://example.com/images/pattern_recognition_24.png,"[""Triangle"", ""Square"", ""Circle"", ""Star""]",Circle,Option Circle fits the pattern rule.,10
Q0025,pattern_recognition,visual_sequence,easy,What image completes the sequence?,https://example.com/images/pattern_recognition_25.png,"[""A"", ""B"", ""C"", ""D""]",C,Option C fits the pattern rule.,4
Q0026,critical_thinking,case_study,hard,A team member is disengaged. How do you respond?,,,subjective,Responses should reflect logical problem-solving and empathy.,10
Q0027,pattern_recognition,visual_sequence,easy,Select the correct rotated version.,https://example.com/images/pattern_recognition_27.png,"[""Left"", ""Right"", ""Upside-down"", ""Original""]",Right,Option Right fits the pattern rule.,4
Q0028,data_interpretation,quiz,medium,Which region shows the lowest performance?,https://example.com/images/data_interpretation_28.png,"[""North"", ""South"", ""East"", ""West""]",East,Option East is correct based on data interpretation.,6
Q0029,data_interpretation,quiz,hard,Which month had the highest sales?,https://example.com/images/data_interpretation_29.png,"[""Jan"", ""Feb"", ""Mar"", ""Apr""]",Mar,Option Mar is correct based on data interpretation.,10
Q0030,data_interpretation,quiz,hard,Which region shows the lowest performance?,https://example.com/images/data_interpretation_30.png,"[""North"", ""South"", ""East"", ""West""]",East,Option East is correct based on data interpretation.,10
