id,skill_area,type,difficulty,question_text,image_url,options,correct_answer,explanation,marks
Q0001,data_interpretation,quiz,hard,Sample question 1 for Data Interpretation (hard).,https://example.com/assets/images/data_interpretation_1.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 1.,10
Q0002,pattern_recognition,visual_sequence,easy,Sample question 2 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_2.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 2.,4
Q0003,statistics,quiz,medium,Sample question 3 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 3.,6
Q0004,critical_thinking,case_study,easy,Sample question 4 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_4.png,,subjective,Sample explanation for question 4.,4
Q0005,data_interpretation,quiz,easy,Sample question 5 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_5.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 5.,4
Q0006,pattern_recognition,visual_sequence,hard,Sample question 6 for Pattern Recognition (hard).,https://example.com/assets/images/pattern_recognition_6.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 6.,10
Q0007,critical_thinking,case_study,medium,Sample question 7 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_7.png,,subjective,Sample explanation for question 7.,6
Q0008,statistics,quiz,medium,Sample question 8 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 8.,6
Q0009,critical_thinking,case_study,medium,Sample question 9 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_9.png,,subjective,Sample explanation for question 9.,6
Q0010,pattern_recognition,visual_sequence,medium,Sample question 10 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_10.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 10.,6
Q0011,critical_thinking,case_study,hard,Sample question 11 for Critical Thinking (hard).,https://example.com/assets/images/critical_thinking_11.png,,subjective,Sample explanation for question 11.,10
Q0012,statistics,quiz,medium,Sample question 12 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 12.,6
Q0013,data_interpretation,quiz,easy,Sample question 13 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_13.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 13.,4
Q0014,statistics,quiz,medium,Sample question 14 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 14.,6
Q0015,data_interpretation,quiz,easy,Sample question 15 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_15.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 15.,4
Q0016,pattern_recognition,visual_sequence,medium,Sample question 16 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_16.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 16.,6
Q0017,data_interpretation,quiz,medium,Sample question 17 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_17.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 17.,6
